Race,Driver,Average Race Story,Average Number of Overtakes,Average Number Overtaken,Average End Position
Bahrain,alonso,0.40,1.85,1.85,5.6
Saudi Arabia,verstappen,1.91,1.80,1.80,1.27
Australia,perez,5.20,1.45,1.45,4.20
Azerbaijan,perez,5.20,1.15,1.15,4.20
Miami,verstappen,1.91,3,3,1.27
Monaco,ocon,2.27,1.1,1.1,9.0
Spain,hamilton,1.50,3.25,3.25,4.90
Canada,albon,0.67,1,1,11.11
Austria,norris,0.19,3.15,3.15,7.42
Great Britain,norris,0.19,1.30,1.30,7.42
Hungary,perez,5.20,0.8,0.8,4.20
Belgium,verstappen,1.91,3.60,3.60,1.27
Netherlands,alonso,0.40,9.4,9.4,5.60
Italy,sainz,-0.75,1.965,1.965,5.68
Singapore,sainz,-0.75,1.55,1.55,5.68
Japan,piastri,-0.21,1.45,1.45,9.63
Qatar,piastri,-0.21,2.4,2.4,9.63
United States,norris,0.19,2.35,2.35,7.42
Mexico,norris,0.19,2.4,2.4,7.42
Brazil,norris,0.19,3.85,3.85,7.42
Las Vegas,leclerc,0.24,4.95,4.95,4.88
Abu Dhabi,tsunoda,1.32,3.50,3.50,11.68