Race,Driver
Bahrain Grand Prix,Fernando Alonso
Saudi Arabian Grand Prix,Max Verstappen
Australian Grand Prix,Sergio Perez
Azerbaijan Grand Prix,Sergio Perez
Miami Grand Prix,Max Verstappen
Monaco Grand Prix,Esteban Ocon
Spanish Grand Prix,Lewis Hamilton
Canadian Grand Prix,Alexander Albon
Austrian Grand Prix,Lando Norris
British Grand Prix,Lando Norris
Hungarian Grand Prix,Sergio Perez
Belgian Grand Prix,Max Verstappen
Dutch Grand Prix,Fernando Alonso
Italian Grand Prix,Carlos Sainz
Singapore Grand Prix,Carlos Sainz
Japanese Grand Prix,Oscar Piastri
Qatar Grand Prix,Oscar Piastri
United States Grand Prix,Lando Norris
Mexican Grand Prix,Lando Norris
Brazilian Grand Prix,Lando Norris
Las Vegas Grand Prix,Charles Leclerc
Abu Dhabi Grand Prix,Yuki Tsunoda