Race,Driver,Start Position,End Position,Race Story,Fastest Lap,Did he get fastestlap,Rookie?,Number of Overtakes,Number Overtaken,Average finish
Bahrain,alonso,5,3,2,zhou,no,False,5,1,5.60
Saudi Arabia,verstappen,15,2,13,verstappen,yes,False,8,0,1.27
Australia,perez,20,5,15,perez,yes,False,10,0,4.20
Azerbaijan,perez,3,1,2,russell,no,False,1,0,4.20
Miami,verstappen,9,1,8,verstappen,yes,False,8,0,1.27
Monaco,ocon,3,3,0,hamilton,no,False,0,0,9.00
Spain,hamilton,4,2,2,verstappen,no,False,2,0,4.90
Canada,albon,9,7,2,perez,no,False,2,2,11.11
Austria,norris,4,4,0,verstappen,no,False,2,3,7.42
Great Britain,norris,2,2,0,verstappen,no,False,0,1,7.42
Hungary,perez,9,3,6,verstappen,no,False,4,0,4.20
Belgium,verstappen,6,1,5,hamilton,no,False,3,0,1.27
Netherlands,alonso,5,2,3,alonso,yes,False,13,0,5.60
Italy,sainz,1,3,-2,piastri,no,False,3,3,5.68
Singapore,sainz,1,1,0,hamilton,no,False,0,0,5.68
Japan,piastri,2,3,-1,verstappen,no,True,2,0,9.63
Qatar,piastri,6,2,4,verstappen,no,True,5,0,9.63
United States,norris,2,2,0,tsunoda,no,False,2,2,7.42
Mexico,norris,17,5,12,hamilton,no,False,13,0,7.42
Brazil,norris,6,2,4,norris,yes,False,0,0,7.42
Las Vegas,leclerc,1,2,-1,piastri,no,False,4,2,4.88
Abu Dhabi,tsunoda,6,8,-2,verstappen,no,False,2,7,11.68